Lang Class,Lang Subclass,Train Size,Model,Embd Dim,EarlyStop,Round #,Test Set,Accuracy,Recall,Precision
SL,SL2,10k,s-rnn,10,False,1,Test2,0.9922000169754028,0.9922000169754028,0.9922000169754028
SL,SL2,10k,s-rnn,10,True,1,Test1,0.9467999935150146,0.9467999935150146,0.9467999935150146
SL,SL2,10k,s-rnn,10,True,1,Test2,0.963699996471405,0.963699996471405,0.963699996471405
SL,SL2,10k,s-rnn,10,False,2,Test1,0.9930999875068665,0.9930999875068665,0.9930999875068665
SL,SL2,10k,s-rnn,10,False,2,Test2,0.9955000281333923,0.9955000281333923,0.9955000281333923
SL,SL2,10k,s-rnn,10,True,2,Test1,0.953499972820282,0.953499972820282,0.953499972820282
SL,SL2,10k,s-rnn,10,True,2,Test2,0.9682999849319458,0.9682999849319458,0.9682999849319458
SL,SL2,10k,s-rnn,30,False,1,Test1,0.9991000294685364,0.9991000294685364,0.9991000294685364
SL,SL2,10k,s-rnn,30,False,1,Test2,0.9994000196456909,0.9994000196456909,0.9994000196456909
SL,SL2,10k,s-rnn,30,True,1,Test1,0.9954000115394592,0.9954000115394592,0.9954000115394592
SL,SL2,10k,s-rnn,30,True,1,Test2,0.9854000210762024,0.9854000210762024,0.9854000210762024
SL,SL2,10k,s-rnn,30,False,2,Test1,0.9986000061035156,0.9986000061035156,0.9986000061035156
SL,SL2,10k,s-rnn,30,False,2,Test2,0.9988999962806702,0.9988999962806702,0.9988999962806702
SL,SL2,10k,s-rnn,30,True,2,Test1,0.9980999827384949,0.9980999827384949,0.9980999827384949
SL,SL2,10k,s-rnn,30,True,2,Test2,0.9994999766349792,0.9994999766349792,0.9994999766349792
SL,SL2,10k,s-rnn,100,False,1,Test1,1.0,1.0,1.0
SL,SL2,10k,s-rnn,100,False,1,Test2,1.0,1.0,1.0
SL,SL2,10k,s-rnn,100,True,1,Test1,0.9993000030517578,0.9993000030517578,0.9993000030517578
SL,SL2,10k,s-rnn,100,True,1,Test2,1.0,1.0,1.0
SL,SL2,10k,s-rnn,100,False,2,Test1,0.9998000264167786,0.9998000264167786,0.9998000264167786
SL,SL2,10k,s-rnn,100,False,2,Test2,1.0,1.0,1.0
SL,SL2,10k,s-rnn,100,True,2,Test1,0.9986000061035156,0.9986000061035156,0.9986000061035156
SL,SL2,10k,s-rnn,100,True,2,Test2,0.9983000159263611,0.9983000159263611,0.9983000159263611
SL,SL2,100k,lstm,10,False,1,Test1,0.9999499917030334,0.9999499917030334,0.9999499917030334
SL,SL2,100k,lstm,10,False,1,Test2,1.0,1.0,1.0
SL,SL2,100k,lstm,10,True,1,Test1,1.0,1.0,1.0
SL,SL2,100k,lstm,10,True,1,Test2,1.0,1.0,1.0
SL,SL2,100k,lstm,30,False,1,Test1,1.0,1.0,1.0
SL,SL2,100k,lstm,30,False,1,Test2,1.0,1.0,1.0
SL,SL2,100k,lstm,30,True,1,Test1,1.0,1.0,1.0
SL,SL2,100k,lstm,30,True,1,Test2,1.0,1.0,1.0
SL,SL2,100k,lstm,100,False,1,Test1,1.0,1.0,1.0
SL,SL2,100k,lstm,100,False,1,Test2,1.0,1.0,1.0
SL,SL2,100k,lstm,100,True,1,Test1,1.0,1.0,1.0
SL,SL2,100k,lstm,100,True,1,Test2,1.0,1.0,1.0
SL,SL2,100k,s-rnn,10,False,1,Test1,0.9998599886894226,0.9998599886894226,0.9998599886894226
SL,SL2,100k,s-rnn,10,False,1,Test2,0.9989799857139587,0.9989799857139587,0.9989799857139587
SL,SL2,100k,s-rnn,10,True,1,Test1,0.9992499947547913,0.9992499947547913,0.9992499947547913
SL,SL2,100k,s-rnn,10,True,1,Test2,0.9995399713516235,0.9995399713516235,0.9995399713516235
SL,SL2,100k,s-rnn,30,False,1,Test1,1.0,1.0,1.0
SL,SL2,100k,s-rnn,30,False,1,Test2,1.0,1.0,1.0
SL,SL2,100k,s-rnn,30,True,1,Test1,1.0,1.0,1.0
SL,SL2,100k,s-rnn,30,True,1,Test2,0.9999899864196777,0.9999899864196777,0.9999899864196777
SL,SL2,100k,s-rnn,100,False,1,Test1,1.0,1.0,1.0
SL,SL2,100k,s-rnn,100,False,1,Test2,1.0,1.0,1.0
SL,SL2,100k,s-rnn,100,True,1,Test1,1.0,1.0,1.0
SL,SL2,100k,s-rnn,100,True,1,Test2,1.0,1.0,1.0
SL,SL4,1k,lstm,10,False,1,Test1,0.9150000214576721,0.9150000214576721,0.9150000214576721
SL,SL4,1k,lstm,10,False,1,Test2,0.8500000238418579,0.8500000238418579,0.8500000238418579
SL,SL4,1k,lstm,10,True,1,Test1,0.8669999837875366,0.8669999837875366,0.8669999837875366
SL,SL4,1k,lstm,10,True,1,Test2,0.7889999747276306,0.7889999747276306,0.7889999747276306
SL,SL4,1k,lstm,10,False,2,Test1,0.9169999957084656,0.9169999957084656,0.9169999957084656
