Lang Class,Lang Subclass,Train Size,Model,Embd Dim,EarlyStop,Round #,Test Set,Accuracy,Recall,Precision
SP,SP8,10k,lstm,10,True,2,Test2,0.5149999856948853,0.5149999856948853,0.5149999856948853
SP,SP8,10k,lstm,30,False,1,Test1,0.9491999745368958,0.9491999745368958,0.9491999745368958
SP,SP8,10k,lstm,30,False,1,Test2,0.5612000226974487,0.5612000226974487,0.5612000226974487
SP,SP8,10k,lstm,30,True,1,Test1,0.95169997215271,0.95169997215271,0.95169997215271
SP,SP8,10k,lstm,30,True,1,Test2,0.5503000020980835,0.5503000020980835,0.5503000020980835
SP,SP8,10k,lstm,30,False,2,Test1,0.9728999733924866,0.9728999733924866,0.9728999733924866
SP,SP8,10k,lstm,30,False,2,Test2,0.6151999831199646,0.6151999831199646,0.6151999831199646
SP,SP8,10k,lstm,30,True,2,Test1,0.9380999803543091,0.9380999803543091,0.9380999803543091
SP,SP8,10k,lstm,30,True,2,Test2,0.5454999804496765,0.5454999804496765,0.5454999804496765
SP,SP8,10k,lstm,100,False,1,Test1,0.9786999821662903,0.9786999821662903,0.9786999821662903
SP,SP8,10k,lstm,100,False,1,Test2,0.6298999786376953,0.6298999786376953,0.6298999786376953
SP,SP8,10k,lstm,100,True,1,Test1,0.9325000047683716,0.9325000047683716,0.9325000047683716
SP,SP8,10k,lstm,100,True,1,Test2,0.5303999781608582,0.5303999781608582,0.5303999781608582
SP,SP8,10k,lstm,100,False,2,Test1,0.9732999801635742,0.9732999801635742,0.9732999801635742
SP,SP8,10k,lstm,100,False,2,Test2,0.6169999837875366,0.6169999837875366,0.6169999837875366
SP,SP8,10k,lstm,100,True,2,Test1,0.9458000063896179,0.9458000063896179,0.9458000063896179
SP,SP8,10k,lstm,100,True,2,Test2,0.5418000221252441,0.5418000221252441,0.5418000221252441
SP,SP8,10k,s-rnn,10,False,1,Test1,0.9007999897003174,0.9007999897003174,0.9007999897003174
SP,SP8,10k,s-rnn,10,False,1,Test2,0.5108000040054321,0.5108000040054321,0.5108000040054321
SP,SP8,10k,s-rnn,10,True,1,Test1,0.8743000030517578,0.8743000030517578,0.8743000030517578
SP,SP8,10k,s-rnn,10,True,1,Test2,0.5004000067710876,0.5004000067710876,0.5004000067710876
SP,SP8,10k,s-rnn,10,False,2,Test1,0.9064000248908997,0.9064000248908997,0.9064000248908997
SP,SP8,10k,s-rnn,10,False,2,Test2,0.5232999920845032,0.5232999920845032,0.5232999920845032
SP,SP8,10k,s-rnn,10,True,2,Test1,0.8716999888420105,0.8716999888420105,0.8716999888420105
SP,SP8,10k,s-rnn,10,True,2,Test2,0.5013999938964844,0.5013999938964844,0.5013999938964844
SP,SP8,10k,s-rnn,30,False,1,Test1,0.9142000079154968,0.9142000079154968,0.9142000079154968
SP,SP8,10k,s-rnn,30,False,1,Test2,0.507099986076355,0.507099986076355,0.507099986076355
SP,SP8,10k,s-rnn,30,True,1,Test1,0.8909000158309937,0.8909000158309937,0.8909000158309937
SP,SP8,10k,s-rnn,30,True,1,Test2,0.5041999816894531,0.5041999816894531,0.5041999816894531
SP,SP8,10k,s-rnn,30,False,2,Test1,0.9208999872207642,0.9208999872207642,0.9208999872207642
SP,SP8,10k,s-rnn,30,False,2,Test2,0.5336999893188477,0.5336999893188477,0.5336999893188477
SP,SP8,10k,s-rnn,30,True,2,Test1,0.8956999778747559,0.8956999778747559,0.8956999778747559
SP,SP8,10k,s-rnn,30,True,2,Test2,0.5325000286102295,0.5325000286102295,0.5325000286102295
SP,SP8,10k,s-rnn,100,False,1,Test1,0.9363999962806702,0.9363999962806702,0.9363999962806702
SP,SP8,10k,s-rnn,100,False,1,Test2,0.5426999926567078,0.5426999926567078,0.5426999926567078
SP,SP8,10k,s-rnn,100,True,1,Test1,0.929099977016449,0.929099977016449,0.929099977016449
SP,SP8,10k,s-rnn,100,True,1,Test2,0.5759000182151794,0.5759000182151794,0.5759000182151794
SP,SP8,10k,s-rnn,100,False,2,Test1,0.9358000159263611,0.9358000159263611,0.9358000159263611
SP,SP8,10k,s-rnn,100,False,2,Test2,0.5647000074386597,0.5647000074386597,0.5647000074386597
SP,SP8,10k,s-rnn,100,True,2,Test1,0.9046000242233276,0.9046000242233276,0.9046000242233276
SP,SP8,10k,s-rnn,100,True,2,Test2,0.5350000262260437,0.5350000262260437,0.5350000262260437
SP,SP8,100k,lstm,10,False,1,Test1,0.9910600185394287,0.9910600185394287,0.9910600185394287
SP,SP8,100k,lstm,10,False,1,Test2,0.8161299824714661,0.8161299824714661,0.8161299824714661
SP,SP8,100k,lstm,10,True,1,Test1,0.9886999726295471,0.9886999726295471,0.9886999726295471
SP,SP8,100k,lstm,10,True,1,Test2,0.8313999772071838,0.8313999772071838,0.8313999772071838
SP,SP8,100k,lstm,30,False,1,Test1,0.9992899894714355,0.9992899894714355,0.9992899894714355
SP,SP8,100k,lstm,30,False,1,Test2,0.9730200171470642,0.9730200171470642,0.9730200171470642
SP,SP8,100k,lstm,30,True,1,Test1,0.9981600046157837,0.9981600046157837,0.9981600046157837
SP,SP8,100k,lstm,30,True,1,Test2,0.9658799767494202,0.9658799767494202,0.9658799767494202
SP,SP8,100k,lstm,100,False,1,Test1,0.999970018863678,0.999970018863678,0.999970018863678
SP,SP8,100k,lstm,100,False,1,Test2,0.9945600032806396,0.9945600032806396,0.9945600032806396
SP,SP8,100k,lstm,100,True,1,Test1,0.9988800287246704,0.9988800287246704,0.9988800287246704
SP,SP8,100k,lstm,100,True,1,Test2,0.9752900004386902,0.9752900004386902,0.9752900004386902
SP,SP8,100k,s-rnn,10,False,1,Test1,0.970009982585907,0.970009982585907,0.970009982585907
SP,SP8,100k,s-rnn,10,False,1,Test2,0.6372600197792053,0.6372600197792053,0.6372600197792053
SP,SP8,100k,s-rnn,10,True,1,Test1,0.9642000198364258,0.9642000198364258,0.9642000198364258
SP,SP8,100k,s-rnn,10,True,1,Test2,0.7623900175094604,0.7623900175094604,0.7623900175094604
SP,SP8,100k,s-rnn,30,False,1,Test1,0.9923400282859802,0.9923400282859802,0.9923400282859802
SP,SP8,100k,s-rnn,30,False,1,Test2,0.8962299823760986,0.8962299823760986,0.8962299823760986
SP,SP8,100k,s-rnn,30,True,1,Test1,0.9867900013923645,0.9867900013923645,0.9867900013923645
SP,SP8,100k,s-rnn,30,True,1,Test2,0.8272899985313416,0.8272899985313416,0.8272899985313416
SP,SP8,100k,s-rnn,100,False,1,Test1,0.9999600052833557,0.9999600052833557,0.9999600052833557
SP,SP8,100k,s-rnn,100,False,1,Test2,0.9982799887657166,0.9982799887657166,0.9982799887657166
SP,SP8,100k,s-rnn,100,True,1,Test1,0.9952999949455261,0.9952999949455261,0.9952999949455261
SP,SP8,100k,s-rnn,100,True,1,Test2,0.7916899919509888,0.7916899919509888,0.7916899919509888
